DATE,TIME,F_Record,FILENAME,SITENAME,USERID,FAULTCODE,CHLOROPHYLLRFU,ChlFluor,F_ChlFluor,SpCond,F_SpCond,Sal,F_Sal,Level,F_Level,DO_pct,F_DO_pct,DO_mgl,F_DO_mgl,FDOMQSU,FDOMRFU,pH,F_pH,PHMV,BATTERY,Temp,F_Temp,Turb,F_Turb,WIPERPOSITIONVOLT
4/9/2025,10:15, ,gtmpcwq_15E101699_040925_050000.bin,Pellicer Creek,GTMNERR,0,4.65,18.86,0,33.826,0,21.25,0,0.137,0,74.9,0,5.83,0,70.44,23.66,7.75,0,-94.8,6.4,21.632,0,18.26,0,1.217
4/9/2025,10:30, ,gtmpcwq_15E101699_040925_050000.bin,Pellicer Creek,GTMNERR,0,5.31,21.51,0,33.246,0,20.85,0,0.117,0,75,0,5.84,0,71.51,24.02,7.76,0,-95,6.4,21.688,0,18.37,0,1.217
4/9/2025,10:45, ,gtmpcwq_15E101699_040925_050000.bin,Pellicer Creek,GTMNERR,0,4.69,19.03,0,32.995,0,20.67,0,0.095,0,74.3,0,5.79,0,72.01,24.19,7.75,0,-94.7,6.4,21.72,0,18.28,0,1.215
4/9/2025,11:00, ,gtmpcwq_15E101699_040925_050000.bin,Pellicer Creek,GTMNERR,0,5.48,22.21,0,31.887,0,19.91,0,0.075,0,76.7,0,5.97,0,73.76,24.78,7.75,0,-94.9,6.4,22.047,0,16.84,0,1.214
4/9/2025,11:15, ,gtmpcwq_15E101699_040925_050000.bin,Pellicer Creek,GTMNERR,0,4.73,19.16,0,30.543,0,18.98,0,0.048,0,77.6,0,6.04,0,75.75,25.45,7.75,0,-94.9,6.4,22.345,0,17.03,0,1.214
4/9/2025,11:30, ,gtmpcwq_15E101699_040925_050000.bin,Pellicer Creek,GTMNERR,0,4.93,19.99,0,29.497,0,18.27,0,0.023,0,77.8,0,6.05,0,77.77,26.12,7.74,0,-94.3,6.4,22.606,0,16.42,0,1.214
4/9/2025,11:45, ,gtmpcwq_15E101699_040925_050000.bin,Pellicer Creek,GTMNERR,0,4.35,17.66,0,30.187,0,18.74,0,0.002,0,75.1,0,5.84,0,76.93,25.84,7.73,0,-93.6,6.4,22.419,0,16.52,0,1.214
4/9/2025,12:00, ,gtmpcwq_15E101699_040925_050000.bin,Pellicer Creek,GTMNERR,0,4.38,17.76,0,29.843,0,18.5,0,-0.019,0,74.4,0,5.79,0,76.12,25.57,7.72,0,-93,6.4,22.525,0,15.57,0,1.214
4/9/2025,12:15, ,gtmpcwq_15E101699_040925_050000.bin,Pellicer Creek,GTMNERR,0,4.91,19.91,0,29.601,0,18.34,0,-0.043,0,73.1,0,5.7,0,77.99,26.2,7.72,0,-92.8,6.4,22.45,0,16.96,0,1.214
4/9/2025,12:30, ,gtmpcwq_15E101699_040925_050000.bin,Pellicer Creek,GTMNERR,0,4.63,18.78,0,27.902,0,17.18,0,-0.065,0,77.8,0,6.05,0,80.34,26.99,7.72,0,-93.3,6.4,23,0,15.42,0,1.214
