"station_code","fullstationname","datetimestamp","monitoringprogram","rep","F_Record","PO4F","F_PO4F","TP","F_TP","TDP","F_TDP","NH4F","F_NH4F","NO23F","F_NO23F","TKN","F_TKN","TKNF","F_TKNF","CHLA_N","F_CHLA_N","UncCHLa_N","F_UncCHLa_N","PHEA","F_PHEA","TSS","F_TSS","color","F_color","FECCOL_CFU","F_FECCOL_CFU","ENTERO_MPN","F_ENTERO_MPN","DOC","F_DOC","TOTALK","F_TOTALK","adjustedtimestamp"
"gtmssnut","gtmssnut1.1","2025-06-10 11:06:00","1","1","","0.026","","0.055","","0.033","","0.034","","0.031","","0.42","","0.32","I","6.8","","8.5","","2.3","","18","","2.5","U","3","UQ","10.0","UQ","3.0","I","","","2025-06-10 10:06:00"
"gtmssnut","gtmssnut1.2","2025-06-10 11:08:00","1","2","","0.027","","0.049","","0.034","","0.036","","0.032","","0.51","","0.29","I","7.0","","8.9","","2.6","","16","","2.5","U","8","BQ","10.0","UQ","3.0","I","","","2025-06-10 10:08:00"
"gtmpcnut","gtmpcnut2.1","2025-06-23 09:30:00","2","1","","0.069","Q","0.13","","0.084","","0.006","","0.007","I","0.73","","0.50","","17","Q","21","Q","5.4","Q","20","","","","","","","","10","","","","2025-06-23 08:30:00"
"gtmpcnut","gtmpcnut2.10","2025-06-24 08:00:00","2","10","","0.080","","0.14","","","","0.004","I","0.004","U","0.72","","","","16","","18","","3.0","I","13","","","","","","74.0","Q","12","","","","2025-06-24 07:00:00"
"gtmpcnut","gtmpcnut2.11","2025-06-24 10:30:00","2","11","","0.067","","0.13","","","","0.004","I","0.004","U","0.70","","","","23","","26","","3.3","I","19","","","","","","10.0","UQ","10","","","","2025-06-24 09:30:00"
"gtmpcnut","gtmpcnut2.2","2025-06-23 12:00:00","2","2","","0.073","","0.15","","","","0.004","I","0.004","U","0.76","","","","20","","24","","4.7","","14","","","","","","","","11","","","","2025-06-23 11:00:00"
"gtmpcnut","gtmpcnut2.3","2025-06-23 14:30:00","2","3","","0.078","","0.15","","","","0.004","I","0.004","U","0.66","","","","19","","23","","5.4","","18","","","","","","10.0","Q","11","","","","2025-06-23 13:30:00"
"gtmpcnut","gtmpcnut2.4","2025-06-23 17:00:00","2","4","","0.081","","0.16","","","","0.004","I","0.004","U","0.69","","","","16","","20","","4.9","","20","","","","","","10.0","Q","13","","","","2025-06-23 16:00:00"
"gtmpcnut","gtmpcnut2.5","2025-06-23 19:30:00","2","5","","0.073","","0.16","","","","0.004","I","0.004","U","0.72","","","","14","","17","","4.2","","25","","","","","","10.0","UQ","12","","","","2025-06-23 18:30:00"
"gtmpcnut","gtmpcnut2.6","2025-06-23 22:00:00","2","6","","0.053","","0.13","","","","0.005","I","0.004","U","0.74","","","","13","","16","","3.7","I","57","","","","","","10.0","UQ","8.5","","","","2025-06-23 21:00:00"
"gtmpcnut","gtmpcnut2.7","2025-06-24 00:30:00","2","7","","0.056","","0.12","","","","0.006","","0.004","U","0.77","","","","12","","15","","4.4","I","41","","","","","","10.0","UQ","9.1","","","","2025-06-23 23:30:00"
"gtmpcnut","gtmpcnut2.8","2025-06-24 03:00:00","2","8","","0.075","","0.14","","","","0.005","I","0.004","U","0.79","","","","15","","18","","3.9","I","22","","","","","","86.0","Q","10","","","","2025-06-24 02:00:00"
"gtmpcnut","gtmpcnut2.9","2025-06-24 05:30:00","2","9","","0.079","","0.14","","","","0.004","I","0.004","U","0.68","","","","14","","17","","2.9","I","14","","","","","","41.0","Q","11","","","","2025-06-24 04:30:00"
"gtmfmnut","gtmfmnut1.1","2025-07-09 13:05:00","1","1","","0.023","","0.045","","0.036","Y","0.054","Y","0.009","I","0.38","I","0.44","","3.9","","4.2","","0.63","U","5","I","2.5","U","4","UQ","10.0","UQ","3.0","I","","","2025-07-09 12:05:00"
"gtmfmnut","gtmfmnut1.2","2025-07-09 13:06:00","1","2","","0.023","","0.046","","0.041","Y","0.052","Y","0.009","I","0.45","","0.35","I","4.0","","4.4","","0.63","U","","","","","3","UQ","10.0","UQ","2.9","I","","","2025-07-09 12:06:00"
"gtmpcnut","gtmpcnut1.1","2025-07-09 12:39:00","1","1","","0.061","","0.12","","0.082","","0.016","","0.004","U","0.67","","0.41","","30","","34","","4.5","","13","","88","A","36","BQ","20.0","Q","11","","","","2025-07-09 11:39:00"
"gtmpcnut","gtmpcnut1.2","2025-07-09 12:40:00","1","2","","0.061","","0.11","","0.082","","0.019","","0.004","U","0.70","","0.41","","28","","32","","5.0","","","","","","28","BQ","20.0","Q","11","","","","2025-07-09 11:40:00"
"gtmpinut","gtmpinut1.1","2025-07-09 10:30:00","1","1","","0.015","","0.058","","0.037","Y","0.01","Y","0.004","U","0.61","","0.47","","17","","19","","2.6","","14","","15","","11","BQ","10.0","UQ","5.7","","","","2025-07-09 09:30:00"
"gtmpinut","gtmpinut1.2","2025-07-09 10:32:00","1","2","","0.016","","0.063","","0.035","Y","0.009","Y","0.004","U","0.53","","0.46","","17","","20","","2.5","","","","","","6","BQ","10.0","UQ","6.2","","","","2025-07-09 09:32:00"
"gtmssnut","gtmssnut1.1","2025-07-09 09:08:00","1","1","","0.01","I","0.041","","0.024","Y","0.017","Y","0.005","I","0.45","","0.33","I","7.2","","8.4","","1.5","I","7","I","5.0","U","14","BQ","10.0","UQ","2.4","I","","","2025-07-09 08:08:00"
"gtmssnut","gtmssnut1.2","2025-07-09 09:10:00","1","2","","0.012","","0.035","","0.023","Y","0.016","Y","0.005","I","0.34","I","0.27","I","7.6","A","8.4","A","1.1","U","","","","","3","BQ","10.0","Q","2.4","I","","","2025-07-09 08:10:00"
"gtmpcnut","gtmpcnut2.1","2025-07-22 09:30:00","2","1","","0.075","Q","0.16","","0.097","J","0.10","","0.020","","1.0","","0.84","","12","Q","17","Q","7.0","IQ","36","","","","","","","","19","","","","2025-07-22 08:30:00"
"gtmpcnut","gtmpcnut2.10","2025-07-23 08:00:00","2","10","","0.079","","0.14","","","","0.093","","0.015","","1.2","","","","5.1","","8.4","","5.1","","19","","","","","","780.0","Q","28","","","","2025-07-23 07:00:00"
"gtmpcnut","gtmpcnut2.11","2025-07-23 10:30:00","2","11","","0.068","","0.13","","","","0.11","","0.020","","1.0","","","","7.8","","11","","5.1","","31","","","","","","420.0","Q","18","","","","2025-07-23 09:30:00"
"gtmpcnut","gtmpcnut2.2","2025-07-22 12:00:00","2","2","","0.077","Q","0.14","","","","0.096","","0.013","","1.0","","","","6.9","","11","","5.8","","21","","","","","","","","23","","","","2025-07-22 11:00:00"
"gtmpcnut","gtmpcnut2.3","2025-07-22 14:30:00","2","3","","0.071","","0.14","","","","0.043","","0.013","","1.1","","","","6.6","","9.9","","4.8","I","20","","","","","","2485.0","AQ","28","","","","2025-07-22 13:30:00"
"gtmpcnut","gtmpcnut2.4","2025-07-22 17:00:00","2","4","","0.072","","0.13","","","","0.050","","0.017","","1.2","","","","11","","15","","5.5","","16","","","","","","2187.0","Q","30","","","","2025-07-22 16:00:00"
"gtmpcnut","gtmpcnut2.5","2025-07-22 19:30:00","2","5","","0.064","","0.13","","","","0.024","J","0.016","J","1.1","","","","11","","16","","6.1","I","24","","","","","","2098.0","Q","26","J","","","2025-07-22 18:30:00"
"gtmpcnut","gtmpcnut2.6","2025-07-22 22:00:00","2","6","","0.055","","0.12","","","","0.033","","0.018","","1.0","","","","14","","18","","5.8","","39","","","","","","201.0","Q","16","","","","2025-07-22 21:00:00"
"gtmpcnut","gtmpcnut2.7","2025-07-23 00:30:00","2","7","","0.058","","0.12","","","","0.057","","0.015","","0.91","","","","10","","14","","6.2","","43","","","","","","211.0","Q","16","","","","2025-07-22 23:30:00"
"gtmpcnut","gtmpcnut2.8","2025-07-23 03:00:00","2","8","","0.074","","0.15","","","","0.085","","0.016","","1.2","","","","7.2","","12","","7.5","","36","","","","","","884.0","Q","24","","","","2025-07-23 02:00:00"
"gtmpcnut","gtmpcnut2.9","2025-07-23 05:30:00","2","9","","0.079","","0.13","","","","0.079","","0.014","","1.2","","","","3.5","","6.4","","4.4","","17","","","","","","934.0","Q","31","","","","2025-07-23 04:30:00"
"gtmfmnut","gtmfmnut1.1","2025-08-06 08:16:00","1","1","","0.017","","0.041","","0.026","","0.047","","0.007","I","0.41","","0.27","I","2.5","","3.2","","0.91","I","13","","2.5","U","16","BQ","20.0","Q","3.0","I","","","2025-08-06 07:16:00"
"gtmfmnut","gtmfmnut1.2","2025-08-06 08:19:00","1","2","","0.017","","0.040","","0.025","","0.046","","0.006","I","0.32","I","0.30","I","2.4","","3.0","","0.81","I","14","","2.5","U","11","BQ","41.0","Q","2.4","I","","","2025-08-06 07:19:00"
"gtmpcnut","gtmpcnut1.1","2025-08-06 11:14:00","1","1","","0.051","","0.10","","0.066","","0.11","","0.034","","1.0","","0.82","","9.4","","12","","2.9","I","17","","250","","96","Q","243.0","Q","25","","","","2025-08-06 10:14:00"
"gtmpcnut","gtmpcnut1.2","2025-08-06 11:16:00","1","2","","0.050","","0.10","","0.069","","0.10","","0.034","","0.96","","0.75","","9.8","","12","","2.2","I","16","","250","","67","BQ","171.0","Q","26","","","","2025-08-06 10:16:00"
"gtmpinnut","gtmpinnut1.1","2025-08-06 10:42:00","1","1","","0.037","","0.084","","0.056","","0.044","","0.007","I","0.67","","0.56","","11","","14","","4.5","","13","","34","","6","BQ","10.0","Q","10","","","","2025-08-06 09:42:00"
"gtmpinnut","gtmpinnut1.2","2025-08-06 10:45:00","1","2","","0.037","","0.084","","0.057","","0.045","","0.008","I","0.78","","0.58","","11","","14","","4.7","","12","","35","","11","BQ","10.0","Q","8.8","","","","2025-08-06 09:45:00"
"gtmssnut","gtmssnut1.1","2025-08-06 09:23:00","1","1","","0.036","","0.073","","0.048","","0.082","","0.044","","0.39","I","0.35","I","4.8","A","5.8","A","1.3","I","13","","2.8","I","9","BQ","201.0","Q","3.3","I","","","2025-08-06 08:23:00"
"gtmssnut","gtmssnut1.2","2025-08-06 09:25:00","1","2","","0.036","","0.069","","0.048","","0.084","","0.045","","0.38","I","0.28","I","4.1","","5.2","","1.6","I","14","","2.5","U","82","BQ","173.0","Q","3.0","I","","","2025-08-06 08:25:00"
"gtmpcnut","gtmpcnut2.1","2025-08-19 09:30:00","2","1","","0.039","Q","0.16","","0.054","","0.039","","0.012","","1.1","","0.52","","6.9","Q","10","Q","4.7","Q","15","","","","","","","","15","","","","2025-08-19 08:30:00"
"gtmpcnut","gtmpcnut2.10","2025-08-20 08:00:00","2","10","","0.041","","0.10","","","","0.040","","0.006","I","0.86","","","","6.9","","12","","7.2","","40","","","","","","201.0","Q","13","","","","2025-08-20 07:00:00"
"gtmpcnut","gtmpcnut2.11","2025-08-20 10:30:00","2","11","","0.041","","0.098","","","","0.048","","0.007","I","0.83","","","","9.4","","12","","4.1","I","42","","","","","","96.0","Q","11","","","","2025-08-20 09:30:00"
"gtmpcnut","gtmpcnut2.2","2025-08-19 12:00:00","2","2","","0.037","","0.099","","","","0.013","","0.010","","0.94","","","","5.5","","8.0","","3.8","","31","","","","","","","","22","","","","2025-08-19 11:00:00"
"gtmpcnut","gtmpcnut2.3","2025-08-19 14:30:00","2","3","","0.044","","0.081","","","","0.052","","0.011","","0.77","","","","6.0","","8.9","","4.3","","38","","","","","","161.0","Q","24","","","","2025-08-19 13:30:00"
"gtmpcnut","gtmpcnut2.4","2025-08-19 17:00:00","2","4","","0.036","","0.10","","","","0.008","","0.009","I","0.83","","","","7.8","","11","","4.7","","22","","","","","","73.5","AQ","24","","","","2025-08-19 16:00:00"
"gtmpcnut","gtmpcnut2.5","2025-08-19 19:30:00","2","5","","0.032","","0.14","","","","0.006","","0.004","U","1.1","","","","18","","22","","6.3","U","94","","","","","","31.0","Q","16","","","","2025-08-19 18:30:00"
"gtmpcnut","gtmpcnut2.6","2025-08-19 22:00:00","2","6","","0.031","","0.10","","","","0.005","","0.004","U","0.74","","","","12","I","13","","6.3","U","90","","","","","","30.0","Q","11","","","","2025-08-19 21:00:00"
"gtmpcnut","gtmpcnut2.7","2025-08-20 00:30:00","2","7","","0.030","","0.10","","","","0.006","","0.004","U","0.84","","","","11","","16","","6.0","I","54","","","","","","41.0","Q","14","","","","2025-08-19 23:30:00"
"gtmpcnut","gtmpcnut2.8","2025-08-20 03:00:00","2","8","","0.035","","0.10","","","","0.013","","0.008","I","1.1","","","","6.9","","11","","5.7","I","51","","","","","","85.0","Q","20","","","","2025-08-20 02:00:00"
"gtmpcnut","gtmpcnut2.9","2025-08-20 05:30:00","2","9","","0.036","","0.090","","","","0.026","","0.01","I","0.95","","","","6.3","A","8.7","A","3.6","I","25","","","","","","199.0","Q","24","","","","2025-08-20 04:30:00"
"gtmfmnut","gtmfmnut1.1","2025-09-08 10:37:00","1","1","","0.011","","0.034","","0.022","","0.029","","0.007","I","0.36","I","0.25","I","3.7","","4.3","","0.69","I","7","IA","4.9","I","4","UQ","10.0","UQ","3.6","I","","","2025-09-08 09:37:00"
"gtmfmnut","gtmfmnut1.2","2025-09-08 10:39:00","1","2","","0.010","","0.035","","0.021","","0.026","","0.005","I","0.30","I","0.29","I","3.5","","4.2","","0.84","I","9","I","4.6","I","3","UQ","10.0","Q","3.4","I","","","2025-09-08 09:39:00"
"gtmpcnut","gtmpcnut1.1","2025-09-08 13:58:00","1","1","","0.031","","0.081","","0.045","","0.11","","0.013","","0.88","","0.65","","17","","19","","3.5","I","34","","160","","17","BQ","52.0","Q","16","","","","2025-09-08 12:58:00"
"gtmpcnut","gtmpcnut1.2","2025-09-08 14:01:00","1","2","","0.030","","0.080","","0.044","","0.090","","0.013","","0.90","","0.65","","14","","16","","3.4","","28","","150","","31","BQ","122.0","Q","15","","","","2025-09-08 13:01:00"
"gtmpinut","gtmpinut1.1","2025-09-08 12:47:00","1","1","","0.031","","0.063","","0.045","","0.049","","0.031","","0.63","","0.55","","6.2","","7.6","","1.9","","9","I","60","","3","UQ","10.0","Q","9.6","","","","2025-09-08 11:47:00"
"gtmpinut","gtmpinut1.2","2025-09-08 12:50:00","1","2","","0.030","","0.061","","0.043","","0.050","","0.032","","0.64","","0.51","","5.6","","7.0","","2.0","","8","I","56","","3","UQ","10.0","UQ","9.5","","","","2025-09-08 11:50:00"
"gtmssnut","gtmssnut1.1","2025-09-08 11:35:00","1","1","","0.012","","0.033","","0.021","","0.019","","0.009","I","0.42","","0.25","I","4.6","","5.2","","0.63","U","9","I","4.0","I","11","BQ","31.0","Q","3.4","I","","","2025-09-08 10:35:00"
"gtmssnut","gtmssnut1.2","2025-09-08 11:37:00","1","2","","0.012","","0.035","","0.021","","0.021","","0.008","I","0.43","","0.25","I","4.5","","5.4","","1.1","I","11","","5.7","I","14","BQ","20.0","Q","3.7","I","","","2025-09-08 10:37:00"
"gtmpcnut","gtmpcnut2.1","2025-09-22 09:30:00","2","1","","0.028","Q","0.079","","0.049","","0.042","","0.022","","1.2","","0.98","","2.7","IQ","3.2","Q","2.1","UQ","20","","","","","","","","36","","","","2025-09-22 08:30:00"
"gtmpcnut","gtmpcnut2.10","2025-09-23 08:00:00","2","10","","0.029","","0.066","","","","0.031","","0.023","","1.2","","","","1.9","I","1.9","","1.3","U","8","I","","","","","341.0","Q","42","","","","2025-09-23 07:00:00"
"gtmpcnut","gtmpcnut2.11","2025-09-23 10:30:00","2","11","","0.026","","0.077","","","","0.043","","0.033","","1.1","","","","4.8","I","5.3","","2.1","U","27","","","","","","121.0","Q","29","","","","2025-09-23 09:30:00"
"gtmpcnut","gtmpcnut2.2","2025-09-22 12:00:00","2","2","","0.020","Q","0.068","","","","0.025","","0.019","","0.96","","","","6.3","","7.5","","1.6","I","16","A","","","","","","","19","","","","2025-09-22 11:00:00"
"gtmpcnut","gtmpcnut2.3","2025-09-22 14:30:00","2","3","","0.019","","0.065","","","","0.023","","0.019","","0.78","","","","6.6","","8.7","","3.2","I","28","","","","","","10.0","AQ","17","","","","2025-09-22 13:30:00"
"gtmpcnut","gtmpcnut2.4","2025-09-22 17:00:00","2","4","","0.022","","0.072","","","","0.016","","0.020","","1.2","","","","4.1","","4.9","","1.6","U","15","","","","","","85.0","Q","33","","","","2025-09-22 16:00:00"
"gtmpcnut","gtmpcnut2.5","2025-09-22 19:30:00","2","5","","0.024","","0.070","","","","0.014","","0.012","","1.0","","","","2.5","I","2.6","A","1.3","U","10","I","","","","","546.0","Q","41","","","","2025-09-22 18:30:00"
"gtmpcnut","gtmpcnut2.6","2025-09-22 22:00:00","2","6","","0.025","","0.068","","","","0.034","","0.020","","1.0","","","","3.6","I","4.3","","1.6","U","16","","","","","","106.0","Q","33","","","","2025-09-22 21:00:00"
"gtmpcnut","gtmpcnut2.7","2025-09-23 00:30:00","2","7","","0.024","","0.066","","","","0.043","","0.030","","0.93","","","","4.8","","5.8","","1.6","U","17","","","","","","20.0","Q","21","","","","2025-09-22 23:30:00"
"gtmpcnut","gtmpcnut2.8","2025-09-23 03:00:00","2","8","","0.025","","0.064","","","","0.046","","0.021","","0.93","","","","5.0","","5.6","","1.6","U","25","","","","","","31.0","Q","22","","","","2025-09-23 02:00:00"
"gtmpcnut","gtmpcnut2.9","2025-09-23 05:30:00","2","9","","0.026","","0.069","","","","0.032","","0.028","","1.2","","","","2.6","I","3.0","","1.6","U","16","","","","","","269.0","Q","36","","","","2025-09-23 04:30:00"
"gtmfmnut","gtmfmnut1.1","2025-10-07 10:35:00","1","1","","0.009","I","0.061","","0.020","","0.023","","0.012","","0.61","","0.25","I","12","","14","","2.1","U","70","","5.9","I","4","BQ","10.0","UQ","2.8","I","","","2025-10-07 09:35:00"
"gtmfmnut","gtmfmnut1.2","2025-10-07 10:38:00","1","2","","0.012","","0.068","","0.019","","0.018","","0.01","I","0.67","","0.27","I","10","","12","","2.1","U","74","","5.9","I","3","UQ","10.0","UQ","2.8","I","","","2025-10-07 09:38:00"
"gtmpcnut","gtmpcnut1.1","2025-10-07 13:42:00","1","1","","0.025","","0.064","","0.040","","0.041","","0.016","","1.1","","0.91","","3.2","","3.2","","1.1","U","14","","360","","22","BQ","31.0","Q","28","","","","2025-10-07 12:42:00"
"gtmpcnut","gtmpcnut1.2","2025-10-07 13:45:00","1","2","","0.033","","0.072","","0.048","","0.045","","0.017","","0.99","","0.90","","2.8","","2.8","","1.1","U","13","A","370","","47","BQ","75.0","Q","28","","","","2025-10-07 12:45:00"
"gtmpinut","gtmpinut1.1","2025-10-07 13:17:00","1","1","","0.026","","0.059","","0.038","","0.042","","0.015","","0.66","","0.46","","4.6","","5.6","","1.5","I","17","","30","","3","BQ","10.0","UQ","6.8","","","","2025-10-07 12:17:00"
"gtmpinut","gtmpinut1.2","2025-10-07 13:20:00","1","2","","0.026","","0.062","","0.036","","0.043","","0.016","","0.72","","0.51","","3.6","","5.8","","3.4","I","18","","27","","3","BQ","10.0","Q","6.8","","","","2025-10-07 12:20:00"
"gtmssnut","gtmssnut1.1","2025-10-07 11:54:00","1","1","","0.015","","0.040","","0.024","","0.020","","0.011","","0.46","","0.33","I","7.8","","9.1","","1.7","I","22","","6.6","","3","UQ","10.0","Q","3.2","I","","","2025-10-07 10:54:00"
"gtmssnut","gtmssnut1.2","2025-10-07 11:57:00","1","2","","0.014","","0.045","","0.022","","0.018","","0.011","","0.55","","0.29","I","5.7","","6.8","","1.4","I","21","","7.4","","8","BQ","41.0","Q","3.2","I","","","2025-10-07 10:57:00"
"gtmpcnut","gtmpcnut2.1","2025-10-20 09:30:00","2","1","","0.029","Q","0.070","","0.047","","0.037","","0.020","","1.3","","0.96","","3.3","","4.1","","1.1","I","16","","","","","","","","35","","","","2025-10-20 08:30:00"
"gtmpcnut","gtmpcnut2.10","2025-10-21 08:00:00","2","10","","0.029","","0.062","","","","0.020","","0.015","","1.2","","","","2.4","I","2.3","","1.2","U","6","I","","","","","262.0","Q","43","","","","2025-10-21 07:00:00"
"gtmpcnut","gtmpcnut2.11","2025-10-21 10:30:00","2","11","","0.028","","0.070","","","","0.047","","0.024","","0.92","","","","3.6","","4.3","","1.1","U","13","","","","","","98.0","Q","29","","","","2025-10-21 09:30:00"
"gtmpcnut","gtmpcnut2.2","2025-10-20 12:00:00","2","2","","0.021","","0.058","","","","0.047","","0.020","","0.79","","","","4.4","","4.7","","1.3","U","8","I","","","","","","","24","","","","2025-10-20 11:00:00"
"gtmpcnut","gtmpcnut2.3","2025-10-20 14:30:00","2","3","","0.023","","0.059","","","","0.032","","0.020","","0.99","","","","2.9","","3.3","","0.91","U","7","I","","","","","69.5","AJQ","31","","","","2025-10-20 13:30:00"
"gtmpcnut","gtmpcnut2.4","2025-10-20 17:00:00","2","4","","0.026","","0.069","","","","0.016","","0.013","","1.2","","","","2.2","I","2.6","","1.2","U","14","","","","","","148.0","Q","44","","","","2025-10-20 16:00:00"
"gtmpcnut","gtmpcnut2.5","2025-10-20 19:30:00","2","5","","0.026","","0.061","","","","0.015","","0.012","","1.3","","","","1.7","I","1.7","","1.1","U","8","I","","","","","98.0","Q","45","","","","2025-10-20 18:30:00"
"gtmpcnut","gtmpcnut2.6","2025-10-20 22:00:00","2","6","","0.026","","0.065","","","","0.027","","0.022","","1.0","","","","2.8","I","3.3","","1.3","U","10","I","","","","","107.0","Q","34","","","","2025-10-20 21:00:00"
"gtmpcnut","gtmpcnut2.7","2025-10-21 00:30:00","2","7","","0.026","","0.055","","","","0.039","","0.023","","0.83","","","","3.5","","3.7","","1.1","U","6","IA","","","","","41.0","Q","28","","","","2025-10-20 23:30:00"
"gtmpcnut","gtmpcnut2.8","2025-10-21 03:00:00","2","8","","0.028","","0.063","","","","0.026","","0.020","","1.1","","","","2.1","I","2.4","","1.2","U","10","","","","","","122.0","Q","37","","","","2025-10-21 02:00:00"
"gtmpcnut","gtmpcnut2.9","2025-10-21 05:30:00","2","9","","0.027","","0.063","","","","0.016","","0.011","","1.3","","","","0.92","I","0.93","","0.63","U","9","I","","","","","109.0","Q","45","","","","2025-10-21 04:30:00"
"gtmfmnut","gtmfmnut1.1","2025-11-05 09:06:00","1","1","","0.009","I","0.032","","0.016","","0.009","","0.003","U","0.32","I","0.28","I","4.6","A","5.1","A","1.1","U","16","A","3.8","I","6","BQ","20.0","Q","4.2","","114","","2025-11-05 09:06:00"
"gtmfmnut","gtmfmnut1.2","2025-11-05 09:08:00","1","2","","0.01","I","0.035","","0.019","","0.006","","0.003","U","0.42","","0.22","I","3.9","","4.5","","0.65","I","17","","3.0","I","6","BQ","10.0","UQ","3.8","I","","","2025-11-05 09:08:00"
"gtmpcnut","gtmpcnut1.1","2025-11-05 11:59:00","1","1","","0.023","","0.052","","0.035","","0.015","","0.014","","0.64","","0.59","","5.9","","6.3","","0.91","U","10","I","120","","22","BQ","20.0","Q","14","","97","","2025-11-05 11:59:00"
"gtmpcnut","gtmpcnut1.2","2025-11-05 12:02:00","1","2","","0.023","","0.050","","0.035","","0.014","","0.013","","0.68","","0.57","","6.1","","6.3","","1.1","U","10","","120","","31","BQ","20.0","Q","13","","","","2025-11-05 12:02:00"
"gtmpinut","gtmpinut1.1","2025-11-05 12:04:00","1","1","","0.030","","0.071","","0.044","","0.038","","0.022","","0.69","","0.52","","5.2","","6.5","","1.7","I","17","","61","","No Result","","20.0","Q","11","","99","","2025-11-05 12:04:00"
"gtmpinut","gtmpinut1.2","2025-11-05 12:06:00","1","2","","0.031","","0.068","","0.044","","0.038","","0.022","","0.72","","0.54","","5.0","","6.0","","1.2","I","16","","63","","8","BQ","10.0","UQ","11","","","","2025-11-05 12:06:00"
"gtmssnut","gtmssnut1.1","2025-11-05 10:23:00","1","1","","0.010","","0.040","","0.017","","0.009","","0.006","I","0.43","","0.27","I","5.7","","6.5","","1.0","I","25","","4.9","I","12","BQ","10.0","UQ","4.5","","114","","2025-11-05 10:23:00"
"gtmssnut","gtmssnut1.2","2025-11-05 10:26:00","1","2","","0.012","","0.041","","0.020","","0.008","","0.008","I","0.33","I","0.26","I","5.3","","5.7","","1.3","U","26","","3.2","I","6","BQ","10.0","Q","4.7","","","","2025-11-05 10:26:00"
"gtmpcnut","gtmpcnut2.1","2025-11-18 09:30:00","2","1","","0.023","Q","0.058","","0.035","","0.018","","0.005","I","0.50","","0.39","I","4.2","AQ","5.2","AQ","1.4","IQ","7","I","","","","","","","8.1","","","","2025-11-18 09:30:00"
"gtmpcnut","gtmpcnut2.10","2025-11-19 08:00:00","2","10","","0.035","","0.060","","","","0.032","","0.024","","0.49","","","","3.1","","3.6","","0.72","I","6","I","","","","","63.0","Q","11","","","","2025-11-19 08:00:00"
"gtmpcnut","gtmpcnut2.2","2025-11-18 12:00:00","2","2","","0.025","Q","0.051","","","","0.008","","0.005","I","0.47","","","","4.5","Q","5.4","Q","1.3","IQ","12","","","","","","","","15","","","","2025-11-18 12:00:00"
"gtmpcnut","gtmpcnut2.3","2025-11-18 14:30:00","2","3","","0.032","","0.061","","","","0.020","","0.019","","0.57","","","","4.4","","5.0","","1.3","U","8","I","","","","","74.0","Q","12","","","","2025-11-18 14:30:00"
"gtmpcnut","gtmpcnut2.4","2025-11-18 17:00:00","2","4","","0.032","","0.058","","","","0.024","","0.026","","0.55","","","","3.2","","3.7","","0.71","I","6","I","","","","","47.0","AQ","14","","","","2025-11-18 17:00:00"
"gtmpcnut","gtmpcnut2.5","2025-11-18 19:30:00","2","5","","0.033","","0.060","","","","0.021","","0.024","","0.62","","","","3.6","","4.6","","1.3","I","10","I","","","","","63.0","Q","13","","","","2025-11-18 19:30:00"
"gtmpcnut","gtmpcnut2.9","2025-11-19 05:30:00","2","9","","0.035","","0.057","","","","0.033","","0.031","","0.51","","","","3.0","","3.4","","0.63","U","3","U","","","","","74.0","Q","13","","","","2025-11-19 05:30:00"
"gtmpcnut","gtmpcnut2.11","2025-11-19 10:30:00","2","11","","0.028","","0.059","","","","0.013","","0.009","I","0.49","","","","6.3","","7.0","","0.91","U","8","I","","","","","97.0","Q","7.8","","","","2025-11-19 10:30:00"
"gtmfmnut","gtmfmnut1.1","2025-12-03 07:57:00","1","1","","0.016","","0.041","","0.024","","0.018","","0.004","I","0.33","I","0.29","I","2.7","","3.4","","0.93","I","11","","2.0","U","11","BQ","10.0","AQ","3.8","I","110","","2025-12-03 07:57:00"
"gtmfmnut","gtmfmnut1.2","2025-12-03 07:59:00","1","2","","0.016","","0.043","","0.024","","0.015","","0.003","I","0.35","I","0.33","I","2.5","","3.2","","0.96","I","16","","2.4","I","14","BQ","10.0","UQ","3.6","I","","","2025-12-03 07:59:00"
"gtmpcnut","gtmpcnut1.1","2025-12-03 10:48:00","1","1","","0.024","","0.055","","0.036","","0.008","","0.003","U","0.47","","0.37","I","3.3","","4.2","","1.4","I","14","","23","","58","BQ","20.0","Q","5.9","","107","","2025-12-03 10:48:00"
"gtmpcnut","gtmpcnut1.2","2025-12-03 10:52:00","1","2","","0.024","","0.054","","0.034","","0.009","","0.003","U","0.43","","0.46","","3.8","","4.5","","1.2","U","14","","23","A","75","BQ","10.0","Q","6.2","","","","2025-12-03 10:52:00"
"gtmpinut","gtmpinut1.1","2025-12-03 10:46:00","1","1","","0.029","","0.070","","0.040","","0.030","","0.012","","0.61","","0.41","","4.9","","6.5","","2.4","I","21","","28","","8","BQ","10.0","Q","9.0","","106","","2025-12-03 10:46:00"
"gtmpinut","gtmpinut1.2","2025-12-03 10:48:00","1","2","","0.031","","0.067","","0.039","","0.030","","0.013","","0.60","","0.40","","5.3","","7.1","","2.7","I","21","","27","","22","BQ","20.0","Q","7.9","","","","2025-12-03 10:48:00"
"gtmssnut","gtmssnut1.1","2025-12-03 09:10:00","1","1","","0.012","Q","0.038","","0.019","","0.017","","0.008","I","0.32","I","0.31","I","4.9","","5.8","","1.3","I","21","","2.0","U","25","BQ","30.0","Q","3.7","I","110","","2025-12-03 09:10:00"
